country,1870,1880,1890,1900,1913,1925,1929,1933,1938,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2007,2010,2015
Norway,0.242,0.247,0.257,0.282,0.325,0.374,0.376,0.392,0.411,0.465,0.494,0.525,0.550,0.576,0.601,0.640,0.656,0.683,0.710,0.732,0.757,0.774,0.774,0.800
Poland,0.078,0.077,0.076,0.083,0.117,0.220,0.185,0.179,0.192,0.179,0.199,0.233,0.250,0.259,0.282,0.287,0.291,0.409,0.492,0.525,0.554,0.607,0.582,0.661
Portugal,0.081,0.095,0.113,0.124,0.144,0.148,0.126,0.130,0.131,0.153,0.166,0.180,0.195,0.211,0.292,0.438,0.455,0.476,0.503,0.534,0.555,0.560,0.587,0.619
Romania,0.065,0.072,0.082,0.100,0.138,0.145,0.154,0.159,0.161,0.153,0.166,0.182,0.201,0.210,0.226,0.231,0.238,0.324,0.417,0.433,0.467,0.485,0.498,0.538
Russian Federation,0.069,0.066,0.066,0.070,0.097,0.084,0.089,0.094,0.102,0.127,0.161,0.181,0.189,0.195,0.200,0.216,0.228,0.316,0.377,0.358,0.352,0.363,0.385,0.373
Slovakia,,,,,,,,,,,,,,,,,,0.428,0.503,0.565,0.590,0.619,0.617,0.662
Slovenia,,,,,,,,,,,,,,,,0.339,0.361,0.499,0.599,0.630,0.658,0.678,0.699,0.719
Spain,0.105,0.117,0.131,0.141,0.173,0.156,0.163,0.246,0.203,0.187,0.205,0.220,0.239,0.256,0.270,0.505,0.528,0.556,0.575,0.615,0.641,0.648,0.685,0.668
Sweden,0.208,0.225,0.242,0.258,0.297,0.372,0.376,0.392,0.401,0.462,0.481,0.507,0.532,0.560,0.604,0.631,0.657,0.688,0.686,0.700,0.727,0.738,0.759,0.784
Switzerland,0.263,0.284,0.306,0.327,0.365,0.395,0.406,0.417,0.429,0.475,0.490,0.510,0.538,0.562,0.637,0.663,0.691,0.713,0.728,0.744,0.771,0.689,0.801,0.861
Ukraine,,,,,,,,,,,,,,,,0.213,0.228,0.380,0.402,0.377,0.415,0.466,0.439,0.399
United Kingdom,0.203,0.230,0.252,0.272,0.308,0.364,0.369,0.380,0.396,0.449,0.479,0.504,0.522,0.546,0.576,0.594,0.624,0.656,0.682,0.729,0.757,0.704,0.788,0.779
Serbia,0.049,0.056,0.076,0.090,0.114,0.126,0.129,0.134,0.149,0.167,0.188,0.205,0.232,0.250,0.266,0.285,0.300,0.315,0.324,0.383,0.470,0.478,0.489,0.464
Montenegro,0.049,0.056,0.076,0.090,0.114,0.126,0.129,0.134,0.149,0.167,0.188,0.205,0.232,0.250,0.266,0.285,0.300,0.315,0.324,0.383,0.470,0.478,0.489,0.464
Yugoslavia,0.049,0.056,0.076,0.090,0.114,0.126,0.129,0.134,0.149,0.167,0.188,0.205,0.232,0.250,0.266,0.285,0.300,0.315,0.324,0.383,0.470,0.478,0.489,0.464
Algeria,0.042,0.042,0.048,0.054,0.065,0.067,0.072,0.074,0.079,0.101,0.102,0.089,0.112,0.127,0.144,0.178,0.207,0.246,0.249,0.271,0.285,0.291,0.301,0.327
Angola,0.019,0.019,0.019,0.027,0.027,0.027,0.027,0.027,0.031,0.036,0.038,0.041,0.050,0.058,0.073,0.082,0.090,0.101,0.114,0.121,0.152,0.170,0.190,0.210
Benin,0.020,0.020,0.021,0.032,0.039,0.032,0.042,0.042,0.045,0.052,0.064,0.088,0.086,0.091,0.092,0.108,0.121,0.155,0.219,0.229,0.251,0.266,0.269,0.275
Botswana,0.017,0.017,0.021,0.041,0.054,0.056,0.057,0.060,0.064,0.080,0.090,0.098,0.129,0.194,0.233,0.263,0.330,0.384,0.397,0.372,0.390,0.387,0.410,0.443
Burkina Faso,0.018,0.018,0.018,0.018,0.021,0.035,0.036,0.035,0.038,0.046,0.050,0.056,0.060,0.054,0.061,0.069,0.080,0.084,0.124,0.148,0.160,0.168,0.177,0.184
Burundi,0.017,0.017,0.017,0.017,0.021,0.033,0.039,0.042,0.043,0.055,0.061,0.069,0.086,0.080,0.085,0.095,0.113,0.101,0.125,0.132,0.140,0.151,0.153,0.129
Cameroon,0.019,0.019,0.019,0.020,0.022,0.026,0.027,0.029,0.038,0.067,0.080,0.087,0.099,0.108,0.121,0.138,0.167,0.183,0.188,0.196,0.199,0.205,0.212,0.222
CAR,0.019,0.019,0.019,0.019,0.019,0.027,0.027,0.027,0.039,0.069,0.075,0.076,0.085,0.071,0.075,0.104,0.110,0.131,0.156,0.158,0.151,0.156,0.158,0.161
Chad,0.018,0.018,0.018,0.018,0.018,0.023,0.025,0.025,0.027,0.039,0.041,0.047,0.055,0.062,0.062,0.060,0.064,0.073,0.086,0.095,0.104,0.113,0.116,0.144
Congo,0.020,0.020,0.020,0.030,0.037,0.037,0.036,0.043,0.053,0.089,0.099,0.122,0.116,0.092,0.117,0.142,0.154,0.188,0.267,0.182,0.199,0.196,0.197,0.230
Congo DR,0.018,0.017,0.018,0.020,0.034,0.033,0.039,0.040,0.048,0.063,0.068,0.092,0.099,0.082,0.088,0.091,0.100,0.112,0.094,0.102,0.122,0.136,0.141,0.181
Côte d'Ivoire,0.020,0.020,0.020,0.031,0.036,0.037,0.039,0.040,0.042,0.054,0.061,0.076,0.090,0.103,0.123,0.150,0.162,0.177,0.199,0.184,0.219,0.226,0.231,0.244
Egypt,0.039,0.039,0.049,0.057,0.063,0.078,0.082,0.085,0.093,0.129,0.117,0.129,0.140,0.144,0.159,0.176,0.222,0.242,0.258,0.283,0.295,0.277,0.309,0.264
Equat. Guinea,,,,,,,,,,0.052,0.064,0.086,0.103,0.086,0.080,0.102,0.130,0.141,0.154,0.167,0.179,0.181,0.180,0.196
Eritrea,,,,,,,,,,0.058,0.064,0.068,0.057,0.062,0.058,0.060,0.062,0.074,0.101,0.104,0.096,0.099,0.102,0.107
Eswatini,0.017,0.017,0.021,0.033,0.038,0.048,0.054,0.057,0.063,0.075,0.086,0.096,0.124,0.148,0.158,0.188,0.207,0.219,0.223,0.207,0.192,0.153,0.200,0.207
Ethiopia,0.017,0.017,0.018,0.018,0.021,0.019,0.022,0.025,0.025,0.033,0.039,0.043,0.049,0.055,0.050,0.056,0.060,0.078,0.107,0.118,0.121,0.138,0.144,0.170
Gabon,0.021,0.021,0.021,0.021,0.033,0.033,0.033,0.040,0.046,0.090,0.108,0.129,0.132,0.142,0.164,0.188,0.201,0.235,0.261,0.260,0.275,0.290,0.305,0.343
Gambia,0.018,0.018,0.019,0.038,0.044,0.042,0.041,0.040,0.049,0.060,0.068,0.076,0.090,0.108,0.120,0.139,0.159,0.176,0.135,0.156,0.168,0.157,0.175,0.179
Ghana,0.019,0.019,0.020,0.039,0.048,0.052,0.060,0.064,0.067,0.110,0.139,0.163,0.170,0.204,0.167,0.249,0.168,0.184,0.268,0.300,0.314,0.333,0.322,0.361
Guinea,0.017,0.017,0.017,0.025,0.026,0.026,0.024,0.025,0.026,0.032,0.038,0.044,0.053,0.060,0.068,0.078,0.089,0.097,0.130,0.138,0.154,0.156,0.157,0.174
Guinea-Bissau,0.017,0.017,0.017,0.020,0.021,0.021,0.021,0.021,0.021,0.024,0.026,0.029,0.040,0.047,0.071,0.078,0.080,0.087,0.132,0.140,0.153,0.161,0.163,0.203
Kenya,0.022,0.023,0.025,0.032,0.039,0.045,0.046,0.047,0.053,0.082,0.091,0.106,0.140,0.148,0.158,0.177,0.186,0.207,0.233,0.235,0.256,0.261,0.272,0.293
Lesotho,0.017,0.017,0.022,0.045,0.057,0.064,0.068,0.070,0.078,0.098,0.107,0.116,0.141,0.145,0.157,0.172,0.182,0.209,0.241,0.229,0.272,0.254,0.279,0.288
